model,version,year,km,color,price,location
Giulietta,1.6 JTD Distinctive,2015,141000,Beyaz,540000,Balıkesir Altıeylül
156,1.6 TS Distinctive,2004,300000,Kırmızı,257000,Denizli Merkezefendi
Giulietta,1.6 JTD Super TCT,2017,98000,Gümüş Gri,730000,İstanbul Sultangazi
156,2.0 TS Distinctive,2002,237000,Kırmızı,235000,Muğla Bodrum
Giulietta,1.6 JTD Super TCT,2018,70500,Beyaz,670000,Eskişehir Odunpazarı
Giulietta,1.6 JTD Distinctive,2013,277000,Siyah,388000,İstanbul Pendik
159,1.9 JTD Distinctive,2007,198200,Siyah,330000,Ankara Keçiören
159,1.9 JTD Distinctive,2007,297000,Siyah,395000,Malatya Yeşilyurt
146,1.4 TS,1999,221000,Kırmızı,131000,İstanbul Üsküdar
156,1.6 TS,2000,30000,Kırmızı,142000,Sivas Merkez
159,1.9 JTD Distinctive,2006,338000,Siyah,305000,İstanbul Tuzla
159,1.9 JTD Distinctive Plus,2007,415000,Siyah,325000,Konya Selçuklu
Giulietta,1.4 TB MultiAir Distinctive,2011,118000,Siyah,600000,İstanbul Esenler
146,1.4 TS,1998,230000,Siyah,103750,İzmir Bergama
147,1.6 TS Progression,2004,172000,Siyah,205000,Şanlıurfa Haliliye
147,1.6 TS Progression,2004,172000,Siyah,205000,Şanlıurfa Haliliye
Giulietta,1.6 JTD Sprint,2020,34000,Gri,915000,İstanbul Bahçelievler
147,1.6 TS Distinctive,2003,185000,Gri,245000,İstanbul Beykoz
156,1.6 TS Distinctive,2006,192000,Siyah,310000,Ankara Mamak
156,1.6 TS Distinctive,2005,250000,Şampanya,230000,Bursa Nilüfer
147,1.6 TS Progression,2005,295250,Gri,227750,Şanlıurfa Haliliye
156,1.6 TS,2001,197000,Gri,205000,Malatya Battalgazi
147,1.6 TS Distinctive,2004,124500,Lacivert,255000,Bursa Osmangazi
Giulietta,1.4 TB MultiAir Distinctive,2014,68000,Gri,199000,Malatya Battalgazi
Giulietta,1.4 TB MultiAir Distinctive,2012,173000,Beyaz,639000,İstanbul Küçükçekmece
MiTo,1.4 T MultiAir TCT Sportivo,2013,122540,Lacivert,505000,İstanbul Sarıyer
Giulietta,1.6 JTD Giulietta,2020,87500,Beyaz,727000,Antalya Serik
156,1.6 TS,1998,320000,Bordo,165000,Kocaeli Gebze
Giulietta,1.6 JTD Distinctive,2011,238000,Beyaz,555555,İstanbul Sarıyer
Giulietta,1.6 JTD Progression,2017,97000,Kırmızı,615000,İstanbul Kağıthane
Giulietta,1.6 JTD Progression Plus,2015,169500,Siyah,470000,Aydın Didim
156,2.0 TS,1998,330000,Mavi,169500,Bursa Nilüfer
Giulietta,1.4 TB MultiAir Distinctive,2012,172500,Beyaz,405000,Eskişehir Odunpazarı
146,1.6 TS,1997,310000,Kırmızı,125000,İzmir Buca
MiTo,1.3 JTD City,2012,142000,Kırmızı,355000,İstanbul Bağcılar
159,1.9 JTD Distinctive Plus,2009,313000,Siyah,350000,Ankara Elmadağ
Giulietta,1.6 JTD Super TCT,2016,87650,Beyaz,725000,Tokat Merkez
159,1.9 JTD Progression,2007,228000,Siyah,375000,İstanbul Arnavutköy
156,1.6 TS Distinctive,2004,299700,Kırmızı,300500,İstanbul Gaziosmanpaşa
Giulietta,1.4 TB Progression Plus,2011,351000,Siyah,467500,Bursa Yıldırım
MiTo,1.4 T MultiAir Quadrifoglio Verde,2011,145000,Beyaz,425000,İzmir Karşıyaka
Giulietta,1.6 JTD Distinctive,2011,186000,Kırmızı,399000,İstanbul Gaziosmanpaşa
MiTo,1.6 JTD Distinctive,2010,184500,Beyaz,335000,Trabzon Ortahisar
Brera,2.2  JTS,2007,184000,Kırmızı,860000,Bursa Nilüfer
Giulietta,1.4 TB MultiAir Distinctive,2013,75000,Beyaz,587500,İstanbul Kartal
147,1.6 TS Distinctive,2004,264000,Füme,220000,İzmir Buca
159,2.4 JTD Distinctive,2007,316000,Siyah,397500,Kocaeli Körfez
Giulietta,1.6 JTD Progression,2017,137000,Füme,610000,Gaziantep Şahinbey
Giulietta,1.6 JTD Progression,2016,66000,Kırmızı,615000,İzmir Gaziemir
Giulietta,1.4 TB MultiAir Distinctive,2012,154000,Beyaz,500000,Kırıkkale Merkez
146,1.4 TS,1998,321000,Bej,109000,Kahramanmaraş Onikişubat
Giulietta,1.4 TB MultiAir Distinctive,2014,112000,Beyaz,620000,İstanbul Bakırköy
166,2.0 TS,1999,281000,Siyah,160000,Kocaeli Başiskele
156,1.6 TS Distinctive,2005,225000,Siyah,228500,Eskişehir Tepebaşı
